video_id,title,cluster,topic_label
b4to2uPAgAI,너무 화난다,1,"이거, 이거 알았음, 알았음"
PO6qCbM_5vk,서비스직 종사자로서 매우 공감합니다,1,"이거, 이거 알았음, 알았음"
zrr8SI0Yc0Y,따님보다 신나셨네..,1,"이거, 이거 알았음, 알았음"
7CsX4WJcUAA,어머님 백번 이해합니다..,1,"이거, 이거 알았음, 알았음"
Cs_3BgTpKQc,나한테 제일 잘 어울리는 머리는?,3,"너무, 무서워, 너무 무서워"
swYLjudg8LI,원룸 사기 말안된다,1,"이거, 이거 알았음, 알았음"
Bj-P9k2RLnE,논란의 냉면집,2,"논란의 냉면집, 논란의, 냉면집"
c9acJQbSGqY,사장님한테 왜그래,1,"이거, 이거 알았음, 알았음"
3vjCNWCAUys,전여친 리즈 시절,1,"이거, 이거 알았음, 알았음"
ihiU3DkvbDI,너무 무서워,3,"너무, 무서워, 너무 무서워"
QuR5Dwrkbrg,얘들아 난 테토녀야 에겐녀야..?,1,"이거, 이거 알았음, 알았음"
yniYE8yA9TQ,아무래도 약속은 신중히 해야..,1,"이거, 이거 알았음, 알았음"
erwP1zg_pEs,세상일 쉽지 않네..,0,"잘못했어요, 너무, 너무 순식간이었어요"
fpQD5IooeEE,가을배가 맛있단다,1,"이거, 이거 알았음, 알았음"
c60V8bSTBj0,무서워서 사투리 터짐ㅋㅋㅋㅋㅋ,1,"이거, 이거 알았음, 알았음"
9_PjMF1MN34,공감할 수 밖에 없는 짤,1,"이거, 이거 알았음, 알았음"
sP8g-ScXWiI,지린다,1,"이거, 이거 알았음, 알았음"
QHfZ49xgCkc,오해라고?,1,"이거, 이거 알았음, 알았음"
okqWXHH_tO8,그 분과 그런 사이 아닙니다..,0,"잘못했어요, 너무, 너무 순식간이었어요"
MEjemMW43JM,죄송해요..,1,"이거, 이거 알았음, 알았음"
FypC9fmsbtk,어떻게 이런일이,1,"이거, 이거 알았음, 알았음"
hwXXN9kg5wg,인간은 도구를 쓴다,3,"너무, 무서워, 너무 무서워"
JrtqRi_8JrU,잘못했어요..,0,"잘못했어요, 너무, 너무 순식간이었어요"
yJtaO2VMVtc,그건 좀..,1,"이거, 이거 알았음, 알았음"
WZ_UtwP0onA,님들아,1,"이거, 이거 알았음, 알았음"
gBfC1_Mt4mg,욕하고 봤더니 침착맨님이었다,0,"잘못했어요, 너무, 너무 순식간이었어요"
LrE2hxa6IZI,복근이 생겼습니다,1,"이거, 이거 알았음, 알았음"
Ikxcuhd1TKM,명수형은 참지않아,1,"이거, 이거 알았음, 알았음"
axJHmHGDut4,의사가 픽한 냉면은 과연?!,2,"논란의 냉면집, 논란의, 냉면집"
txMWX6HrtsA,귀여워서가 이유가 아니야?,0,"잘못했어요, 너무, 너무 순식간이었어요"
DY_Iz5-uuVA,난이도 뭐야 너무 어려운데?,3,"너무, 무서워, 너무 무서워"
iQtD4PSyMhc,어머니...아니죠?,1,"이거, 이거 알았음, 알았음"
IUiBCBeolqY,너무 순식간이었어요..,0,"잘못했어요, 너무, 너무 순식간이었어요"
5kzp6xYMPME,이거 알았음?,1,"이거, 이거 알았음, 알았음"
uMZW4xNUsMY,이걸 사람이 할 수 있어?,3,"너무, 무서워, 너무 무서워"
RogULudecGc,헉,1,"이거, 이거 알았음, 알았음"
UaAXpiTLrco,그림자도 밟아선 안돼,1,"이거, 이거 알았음, 알았음"
guROT61LitI,남자란 멀까,1,"이거, 이거 알았음, 알았음"
V3guvMpNgfI,홍대병이 먹게 된 롯데리아 신제품,2,"논란의 냉면집, 논란의, 냉면집"
iyycBrZ3DTY,남자어가 이런거야?,1,"이거, 이거 알았음, 알았음"
KtaZFz7Z7jE,유튜브 생태계 교란종,4,"유튜브 생태계, 유튜브, 생태계 교란종"
A7AkWaweRm4,와 님들 이거 알았음?,1,"이거, 이거 알았음, 알았음"
m9i5RnQZKkk,너무나 어려운 미션,3,"너무, 무서워, 너무 무서워"
Hre2Q4_UhHE,이거 머야,1,"이거, 이거 알았음, 알았음"
3d2pb4Q6Vas,테무산 입니다,1,"이거, 이거 알았음, 알았음"
E66AbbT9iK4,이해되는 애들이 한명도 없어 하..,0,"잘못했어요, 너무, 너무 순식간이었어요"
Bu91Dkh3w9g,얘들아 나야,1,"이거, 이거 알았음, 알았음"
l9CKE8TUcQI,금휘 방송사고,3,"너무, 무서워, 너무 무서워"
zm-jIsEohsk,이게 왜 꼴려,1,"이거, 이거 알았음, 알았음"
hD39BIQSbKM,부러워 죽겠네 진짜,1,"이거, 이거 알았음, 알았음"
